version;filename;loc;loc_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JavaSQLTypes.java;161;161;1;_;0;161;161;161
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java;86;86;1;_;0;86;86;86
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaults.java;304;304;1;_;0;304;304;304
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java;703;703;1;_;0;703;703;703
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java;1749;1749;1;_;0;1749;1749;1749
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java;1179;1179;1;_;0;1179;1179;1179
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingStrategyInstaller.java;68;68;1;_;0;68;68;68
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java;1122;1122;1;_;0;1122;1122;1122
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MetaDataPlusMappingFactory.java;139;139;1;_;0;139;139;139
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneMappingDefaults.java;163;163;1;_;0;163;163;163
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneStrategyInstaller.java;60;60;1;_;0;60;60;60
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java;231;231;1;_;0;231;231;231
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java;606;606;1;_;0;606;606;606
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RefreshStrategyInstaller.java;135;135;1;_;0;135;135;135
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java;35;35;1;_;0;35;35;35
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java;160;160;1;_;0;160;160;160
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java;2053;2053;1;_;0;2053;2053;2053
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RuntimeStrategyInstaller.java;93;93;1;_;0;93;93;93
